st_iger,Peter,Nace,Blaž,Gašper,Jernej,Ostali,Peter_games,Nace_games,Blaž_games,Gašper_games,Jernej_games,Ostali_games
21,25412.0,20956.0,13091.0,14035.0,24859.0,4655.0,1255.0,1197.0,1056.0,1179.0,1409.0,536.0
30,25889.0,20956.0,13544.0,14651.0,24951.0,4655.0,1285.0,1197.0,1086.0,1209.0,1439.0,536.0
24,25889.0,21108.0,13722.0,15110.0,24951.0,4813.0,1285.0,1221.0,1110.0,1233.0,1439.0,560.0
20,27076.0,22017.0,14437.0,15123.0,24951.0,4813.0,1305.0,1241.0,1130.0,1253.0,1439.0,560.0
25,27922.0,22874.0,14843.0,15123.0,25582.0,4813.0,1330.0,1266.0,1155.0,1253.0,1464.0,560.0
30,26579.0,22874.0,20338.0,15123.0,27193.0,-143.0,1360.0,1266.0,1185.0,1253.0,1494.0,590.0
15,26840.0,22794.0,20338.0,15517.0,27621.0,-143.0,1375.0,1281.0,1185.0,1268.0,1509.0,590.0
28,26964.0,22997.0,20386.0,16104.0,27621.0,-143.0,1403.0,1309.0,1213.0,1296.0,1509.0,590.0
15,27363.0,22997.0,20386.0,16441.0,27621.0,65.0,1418.0,1309.0,1213.0,1311.0,1509.0,605.0
19,27708.0,22997.0,20386.0,16952.0,27753.0,493.0,1437.0,1309.0,1213.0,1330.0,1528.0,624.0
40,28224.0,22997.0,20386.0,17760.0,28944.0,1199.0,1477.0,1309.0,1213.0,1370.0,1568.0,664.0
15,28902.0,23123.0,20386.0,17760.0,29672.0,1465.0,1492.0,1324.0,1213.0,1370.0,1583.0,679.0
15,28960.0,23347.0,20386.0,17760.0,30247.0,1526.0,1507.0,1339.0,1213.0,1370.0,1598.0,694.0
19,29295.0,23347.0,20415.0,17839.0,30625.0,1526.0,1526.0,1339.0,1232.0,1389.0,1617.0,694.0
15,29295.0,23622.0,20767.0,17839.0,30844.0,1629.0,1526.0,1354.0,1247.0,1389.0,1632.0,709.0
15,29161.0,23718.0,20767.0,18121.0,30844.0,1847.0,1541.0,1369.0,1247.0,1404.0,1632.0,724.0
20,28661.0,23718.0,20867.0,18071.0,30744.0,1847.0,1561.0,1369.0,1267.0,1424.0,1652.0,724.0
15,29060.0,23718.0,20867.0,18391.0,31206.0,1987.0,1576.0,1369.0,1267.0,1439.0,1667.0,739.0
15,28371.0,23978.0,20867.0,18635.0,31238.0,1987.0,1591.0,1384.0,1267.0,1454.0,1682.0,739.0
30,29873.0,24032.0,20867.0,19029.0,32357.0,1987.0,1621.0,1414.0,1267.0,1484.0,1712.0,739.0
25,30927.0,24049.0,20867.0,18585.0,32362.0,1987.0,1646.0,1439.0,1267.0,1509.0,1737.0,739.0
15,30920.0,24241.0,20867.0,18904.0,32552.0,1987.0,1661.0,1454.0,1267.0,1524.0,1752.0,739.0
20,31589.0,24872.0,20867.0,19082.0,32552.0,2298.0,1681.0,1474.0,1267.0,1544.0,1752.0,759.0
15,29492.0,24714.0,21805.0,19079.0,32552.0,2298.0,1696.0,1489.0,1282.0,1559.0,1752.0,759.0
18,29869.0,24714.0,22012.0,19430.0,32669.0,2298.0,1714.0,1489.0,1300.0,1577.0,1770.0,759.0
16,29936.0,24821.0,22388.0,19430.0,32747.0,2298.0,1730.0,1505.0,1316.0,1577.0,1786.0,759.0
24,30387.0,24821.0,20542.0,19923.0,33459.0,2298.0,1754.0,1505.0,1340.0,1601.0,1810.0,759.0
24,30792.0,25422.0,20542.0,19923.0,33871.0,2438.0,1778.0,1529.0,1340.0,1601.0,1834.0,783.0
16,31127.0,25348.0,20542.0,20066.0,33614.0,2438.0,1794.0,1545.0,1340.0,1617.0,1850.0,783.0
20,31043.0,25534.0,20542.0,20437.0,33311.0,2438.0,1814.0,1565.0,1340.0,1637.0,1870.0,783.0
16,31499.0,25989.0,20828.0,20717.0,33311.0,2438.0,1830.0,1581.0,1356.0,1653.0,1870.0,783.0
24,31544.0,25989.0,20828.0,20938.0,33532.0,2758.0,1854.0,1581.0,1356.0,1677.0,1894.0,807.0
16,28609.0,25989.0,20828.0,21296.0,33293.0,2770.0,1870.0,1581.0,1356.0,1693.0,1910.0,823.0
16,29086.0,25506.0,20828.0,21650.0,32672.0,2770.0,1886.0,1597.0,1356.0,1709.0,1926.0,823.0
20,29086.0,25694.0,21126.0,21863.0,32508.0,2770.0,1886.0,1617.0,1376.0,1729.0,1946.0,823.0
25,28998.0,25587.0,21460.0,21863.0,32208.0,2770.0,1911.0,1642.0,1401.0,1729.0,1971.0,823.0
20,30199.0,25643.0,24368.0,22265.0,32208.0,2770.0,1931.0,1662.0,1421.0,1749.0,1971.0,823.0
24,29375.0,25643.0,24140.0,22530.0,32582.0,2770.0,1955.0,1662.0,1445.0,1773.0,1995.0,823.0
16,30062.0,25643.0,24295.0,22530.0,32569.0,2873.0,1971.0,1662.0,1461.0,1773.0,2011.0,839.0
20,29502.0,25643.0,24268.0,22341.0,32646.0,2873.0,1991.0,1662.0,1481.0,1793.0,2031.0,839.0
40,30114.0,26496.0,25315.0,22341.0,33358.0,2873.0,2031.0,1702.0,1521.0,1793.0,2071.0,839.0
24,29732.0,26496.0,25725.0,21925.0,33577.0,2873.0,2055.0,1702.0,1545.0,1817.0,2095.0,839.0
20,29991.0,26753.0,25911.0,21925.0,34129.0,2873.0,2075.0,1722.0,1565.0,1817.0,2115.0,839.0
20,29704.0,26966.0,26203.0,21925.0,34129.0,3352.0,2095.0,1742.0,1585.0,1817.0,2115.0,859.0
40,28799.0,27948.0,26203.0,22105.0,34232.0,3352.0,2135.0,1782.0,1585.0,1857.0,2155.0,859.0
25,29685.0,28016.0,26827.0,22105.0,34027.0,3352.0,2160.0,1807.0,1610.0,1857.0,2180.0,859.0
24,29685.0,28224.0,27162.0,22105.0,33770.0,3853.0,2160.0,1831.0,1634.0,1857.0,2204.0,883.0
22,29728.0,28224.0,27084.0,22105.0,33962.0,4209.0,2182.0,1831.0,1656.0,1857.0,2226.0,905.0
25,30444.0,28975.0,27084.0,22726.0,33433.0,4209.0,2207.0,1856.0,1656.0,1882.0,2251.0,905.0
18,30444.0,29108.0,27419.0,23022.0,33788.0,4209.0,2207.0,1874.0,1674.0,1900.0,2269.0,905.0
18,30872.0,29437.0,27561.0,23022.0,33927.0,4209.0,2225.0,1892.0,1692.0,1900.0,2287.0,905.0
13,31364.0,29437.0,28353.0,24048.0,33749.0,4209.0,2238.0,1892.0,1705.0,1913.0,2300.0,905.0
24,32843.0,29437.0,28543.0,24747.0,34483.0,4209.0,2262.0,1892.0,1729.0,1937.0,2324.0,905.0
25,33239.0,29437.0,28778.0,24953.0,35121.0,4209.0,2287.0,1892.0,1754.0,1962.0,2349.0,905.0
20,33239.0,29930.0,29364.0,25255.0,34792.0,4209.0,2287.0,1912.0,1774.0,1982.0,2369.0,905.0
16,33239.0,30230.0,29180.0,25596.0,34516.0,4209.0,2287.0,1928.0,1790.0,1998.0,2385.0,905.0
24,33795.0,30230.0,29654.0,25596.0,34517.0,4795.0,2311.0,1928.0,1814.0,1998.0,2409.0,929.0
16,33344.0,30230.0,29588.0,25661.0,34343.0,4795.0,2327.0,1928.0,1830.0,2014.0,2425.0,929.0
16,33251.0,30586.0,29240.0,25661.0,34515.0,4795.0,2343.0,1944.0,1846.0,2014.0,2441.0,929.0
20,33067.0,30795.0,29240.0,25661.0,34469.0,5029.0,2363.0,1964.0,1846.0,2014.0,2461.0,949.0
20,33196.0,30825.0,29529.0,25661.0,34927.0,5029.0,2383.0,1984.0,1866.0,2014.0,2481.0,949.0
30,35916.0,30825.0,29401.0,25674.0,34979.0,5029.0,2413.0,1984.0,1896.0,2044.0,2511.0,949.0
22,36826.0,31438.0,29401.0,26162.0,35172.0,5029.0,2435.0,2006.0,1896.0,2066.0,2533.0,949.0
16,36679.0,30794.0,29401.0,26492.0,32426.0,5029.0,2451.0,2022.0,1896.0,2082.0,2549.0,949.0
20,37180.0,31067.0,29401.0,26765.0,32426.0,5043.0,2471.0,2042.0,1896.0,2102.0,2549.0,969.0
16,37180.0,31098.0,29678.0,27795.0,32374.0,5043.0,2471.0,2058.0,1912.0,2118.0,2565.0,969.0
20,37180.0,31643.0,29678.0,27795.0,32974.0,6468.0,2471.0,2078.0,1912.0,2118.0,2585.0,989.0
15,35080.0,31483.0,29948.0,27795.0,32424.0,6468.0,2486.0,2093.0,1927.0,2118.0,2600.0,989.0
18,33032.0,31556.0,30231.0,27795.0,32760.0,6468.0,2504.0,2111.0,1945.0,2118.0,2618.0,989.0
24,32895.0,31682.0,30231.0,27795.0,32808.0,6558.0,2528.0,2135.0,1945.0,2118.0,2642.0,1013.0
24,33084.0,31682.0,31162.0,27860.0,34103.0,6558.0,2552.0,2135.0,1969.0,2142.0,2666.0,1013.0
24,32840.0,31840.0,31162.0,27836.0,34587.0,6558.0,2576.0,2159.0,1969.0,2166.0,2690.0,1013.0
15,32840.0,31927.0,31162.0,28006.0,34412.0,5031.0,2576.0,2174.0,1969.0,2181.0,2705.0,1028.0
