st_iger,Peter,Nace,Blaž,Gašper,Jernej,Klančar,Žaži,Mica,Ferjan,Kocjančič,Ostali
16,,31.0,277.0,1030.0,-52.0,,,,,,
20,,545.0,,,600.0,,-515.0,,1425.0,,
15,-2100.0,-160.0,270.0,,-550.0,,,,,,
18,-2048.0,73.0,283.0,,336.0,,,,,,
24,-137.0,126.0,,,48.0,,90.0,,,,
24,189.0,,931.0,65.0,1295.0,,,,,,
24,-244.0,158.0,,-24.0,484.0,,,,,,
15,,87.0,,170.0,-175.0,,-1527.0,,,,
17,-156.0,,-312.0,250.0,-263.0,,,,,,
15,221.0,,-60.0,369.0,489.0,,,,,,
15,,49.0,16.0,-444.0,326.0,,,,,,
17,-85.0,,,165.0,100.0,,,,,-71.0,
14,,131.0,,99.0,206.0,291.0,,,,,
15,449.0,195.0,,,452.0,,,212.0,,,
24,658.0,391.0,,787.0,68.0,,,,,,
24,,371.0,,-571.0,105.0,,467.0,,,,
15,485.0,,,-3705.0,388.0,,,,,,843.0
15,623.0,620.0,,,172.0,,,,,261.0,
27,931.0,176.0,,332.0,-87.0,,,,,,
18,214.0,-121.0,,,-1299.0,,144.0,,,,
16,626.0,,,166.0,404.0,,62.0,,,,
16,322.0,,415.0,-237.0,274.0,,,,,,
20,498.0,570.0,,,723.0,,294.0,,,,
24,-1938.0,314.0,,760.0,80.0,,,,,,
16,511.0,306.0,55.0,292.0,,,,,,,
24,-132.0,315.0,,,-285.0,,-9.0,,,,
